Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
30/10/2025,00:48:00,60.34,60.36,60.34,60.36,14,12,5,9
30/10/2025,00:49:00,60.36,60.36,60.36,60.36,1,1,1,0
30/10/2025,00:50:00,60.35,60.36,60.35,60.35,7,7,5,2
30/10/2025,00:51:00,60.35,60.35,60.34,60.34,9,9,7,2
30/10/2025,00:52:00,60.35,60.35,60.35,60.35,1,1,0,1
30/10/2025,00:53:00,60.35,60.35,60.35,60.35,1,1,0,1
30/10/2025,00:54:00,60.35,60.36,60.35,60.36,23,20,5,18
30/10/2025,00:55:00,60.37,60.38,60.37,60.37,23,19,7,16
30/10/2025,00:56:00,60.37,60.37,60.35,60.35,28,28,23,5
30/10/2025,00:57:00,60.35,60.36,60.35,60.36,2,2,0,1
30/10/2025,00:58:00,60.36,60.4,60.36,60.4,64,58,19,45
30/10/2025,00:59:00,60.41,60.41,60.38,60.39,63,60,37,26
30/10/2025,01:00:00,60.38,60.4,60.35,60.36,62,60,43,19
30/10/2025,01:01:00,60.36,60.39,60.36,60.39,62,45,39,23
30/10/2025,01:02:00,60.39,60.39,60.33,60.35,208,102,154,54
30/10/2025,01:03:00,60.35,60.37,60.35,60.37,29,25,7,22
30/10/2025,01:04:00,60.36,60.41,60.32,60.33,176,121,52,120
30/10/2025,01:05:00,60.33,60.38,60.33,60.38,47,45,12,33
30/10/2025,01:06:00,60.38,60.39,60.36,60.36,38,38,21,17
30/10/2025,01:07:00,60.37,60.41,60.34,60.34,52,46,21,31
30/10/2025,01:08:00,60.35,60.35,60.34,60.34,11,11,5,6
30/10/2025,01:09:00,60.35,60.35,60.33,60.34,13,13,9,4
30/10/2025,01:10:00,60.34,60.35,60.34,60.34,15,15,6,9
30/10/2025,01:11:00,60.35,60.35,60.32,60.32,27,27,15,12
30/10/2025,01:12:00,60.31,60.31,60.27,60.28,45,43,34,11
30/10/2025,01:13:00,60.27,60.3,60.27,60.29,30,29,17,13
30/10/2025,01:14:00,60.29,60.3,60.29,60.3,13,13,9,4
30/10/2025,01:15:00,60.31,60.33,60.29,60.31,193,86,148,45
30/10/2025,01:16:00,60.31,60.31,60.29,60.29,33,32,27,6
30/10/2025,01:17:00,60.3,60.3,60.28,60.29,20,20,11,9
30/10/2025,01:18:00,60.29,60.31,60.29,60.3,21,19,7,14
30/10/2025,01:19:00,60.31,60.33,60.31,60.32,21,20,5,16
30/10/2025,01:20:00,60.31,60.31,60.3,60.3,7,7,6,1
30/10/2025,01:21:00,60.3,60.3,60.28,60.28,8,7,6,2
30/10/2025,01:22:00,60.28,60.29,60.28,60.29,7,7,3,4
30/10/2025,01:23:00,60.29,60.31,60.29,60.31,9,9,4,5
30/10/2025,01:24:00,60.31,60.31,60.3,60.3,5,5,3,2
30/10/2025,01:25:00,60.31,60.31,60.31,60.31,6,6,4,2
30/10/2025,01:26:00,60.3,60.3,60.29,60.3,9,9,4,5
30/10/2025,01:27:00,60.3,60.3,60.28,60.29,13,13,1,12
30/10/2025,01:28:00,60.29,60.29,60.26,60.27,31,30,19,12
30/10/2025,01:29:00,60.26,60.29,60.26,60.27,24,24,15,9
30/10/2025,01:30:00,60.27,60.29,60.25,60.28,32,32,20,12
30/10/2025,01:31:00,60.28,60.28,60.23,60.23,45,43,23,22
30/10/2025,01:32:00,60.22,60.24,60.22,60.23,48,47,26,22
30/10/2025,01:33:00,60.23,60.28,60.23,60.27,61,54,13,47
30/10/2025,01:34:00,60.28,60.29,60.28,60.29,11,11,6,5
30/10/2025,01:35:00,60.29,60.34,60.29,60.33,76,63,12,64
30/10/2025,01:36:00,60.34,60.37,60.34,60.36,39,38,11,27
30/10/2025,01:37:00,60.35,60.35,60.31,60.33,50,44,32,18
30/10/2025,01:38:00,60.32,60.32,60.31,60.32,9,9,6,3
30/10/2025,01:39:00,60.32,60.32,60.32,60.32,6,6,1,5
30/10/2025,01:40:00,60.31,60.31,60.27,60.27,20,20,19,1
30/10/2025,01:41:00,60.27,60.29,60.26,60.28,38,36,16,22
30/10/2025,01:42:00,60.29,60.33,60.29,60.32,64,58,11,51
30/10/2025,01:43:00,60.32,60.32,60.29,60.31,14,14,8,6
30/10/2025,01:44:00,60.31,60.31,60.29,60.29,13,13,9,4
30/10/2025,01:45:00,60.29,60.29,60.28,60.29,11,11,6,5
30/10/2025,01:46:00,60.3,60.3,60.27,60.27,9,9,7,2
30/10/2025,01:47:00,60.28,60.28,60.27,60.28,5,5,2,3
30/10/2025,01:48:00,60.28,60.28,60.24,60.24,53,52,35,18
30/10/2025,01:49:00,60.24,60.24,60.21,60.23,60,51,43,16
30/10/2025,01:50:00,60.22,60.24,60.22,60.24,20,18,3,17
30/10/2025,01:51:00,60.24,60.24,60.22,60.22,21,19,8,13
30/10/2025,01:52:00,60.21,60.24,60.21,60.24,19,18,6,13
30/10/2025,01:53:00,60.23,60.26,60.23,60.24,107,57,73,34
30/10/2025,01:54:00,60.25,60.25,60.25,60.25,62,38,16,45
30/10/2025,01:55:00,60.24,60.28,60.23,60.27,89,87,41,48
30/10/2025,01:56:00,60.27,60.28,60.26,60.28,20,20,12,8
30/10/2025,01:57:00,60.27,60.28,60.27,60.28,5,5,3,2
30/10/2025,01:58:00,60.27,60.28,60.27,60.28,7,7,5,2
30/10/2025,01:59:00,60.27,60.28,60.27,60.27,11,11,7,4
30/10/2025,02:00:00,60.27,60.28,60.26,60.27,31,28,21,10
30/10/2025,02:01:00,60.26,60.27,60.26,60.27,6,6,2,4
30/10/2025,02:02:00,60.26,60.27,60.26,60.26,14,14,3,11
30/10/2025,02:03:00,60.26,60.26,60.24,60.24,5,5,4,1
30/10/2025,02:04:00,60.25,60.26,60.22,60.22,59,57,39,20
30/10/2025,02:05:00,60.21,60.22,60.2,60.22,12,10,6,6
30/10/2025,02:06:00,60.22,60.22,60.2,60.22,23,21,10,13
30/10/2025,02:07:00,60.22,60.23,60.22,60.22,21,18,8,13
30/10/2025,02:08:00,60.21,60.22,60.2,60.2,53,44,28,25
30/10/2025,02:09:00,60.2,60.2,60.17,60.19,116,95,67,49
30/10/2025,02:10:00,60.18,60.18,60.15,60.15,97,89,69,28
30/10/2025,02:11:00,60.15,60.16,60.15,60.16,132,87,76,56
30/10/2025,02:12:00,60.16,60.19,60.16,60.18,54,45,7,47
30/10/2025,02:13:00,60.18,60.2,60.18,60.18,18,14,3,15
30/10/2025,02:14:00,60.19,60.2,60.18,60.19,29,25,19,10
